record_id,citation,doi,report_access,full_text_stage,final_role,six_domain_appraisal,quantitative_performance_use
E71,"CHATHURANGA M, et al. Trends, advancements, and future directions of unmanned aerial vehicle technology-based stockpile volume estimation: a systematic review[J]. *International Journal of Geoinformatics*, 2025, 21(11): 94–120. DOI: 10.52939/ijg.v21i11.4605.",10.52939/ijg.v21i11.4605,FT,INCLUDED,SPECIALIST-REVIEW,no,claim-specific
E09,"NUTH C, KÄÄB A. Co-registration and bias corrections of satellite elevation data sets for quantifying glacier thickness change[J]. The Cryosphere, 2011, 5: 271-290. DOI: 10.5194/tc-5-271-2011.",10.5194/tc-5-271-2011,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E10,"TUNA T, NUBERT J, NAVA Y, et al. X-ICP: localizability-aware LiDAR registration for robust localization in extreme environments[J]. IEEE Transactions on Robotics, 2024, 40: 452-471. DOI: 10.1109/TRO.2023.3335691.",10.1109/tro.2023.3335691,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E102,"GAN V J L, HU D, WANG Y, ZHAI R. Automated indoor 3D scene reconstruction with decoupled mapping using quadruped robot and LiDAR sensor[J]. *Computer-Aided Civil and Infrastructure Engineering*, 2025, 40(15): 2209–2226. DOI: 10.1111/mice.13450.",10.1111/mice.13450,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E103,"TUOMISTO J, ZHENG Y, CHAUHAN I, SEPPÄNEN O, PAJARINEN J. Automating on-site object inspection with a quadruped robot and BIM[J]. *Automation in Construction*, 2026, 181: 106571. DOI: 10.1016/j.autcon.2025.106571.",10.1016/j.autcon.2025.106571,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E104,"VEGA-TORRES M A, BRAUN A, BORRMANN A. SLAM2REF: advancing long-term mapping with 3D LiDAR and reference map integration for precise 6-DoF trajectory estimation and map extension[J]. *Construction Robotics*, 2024, 8: 13. DOI: 10.1007/s41693-024-00126-w.",10.1007/s41693-024-00126-w,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E106,"KIM G, KIM A. LT-mapper: a modular framework for LiDAR-based lifelong mapping[C]//*IEEE ICRA*. 2022: 7995–8002. DOI: 10.1109/ICRA46639.2022.9811916.",10.1109/icra46639.2022.9811916,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E108,"YANG L, PRAKHYA S M, ZHU S, LIU Z. Lifelong 3D mapping framework for hand-held and robot-mounted LiDAR mapping systems[Preprint]. arXiv:2501.18110, 2025.",,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E11,"LEE D, LIM H, HAN S. GenZ-ICP: generalizable and degeneracy-robust LiDAR odometry using an adaptive weighting[J]. IEEE Robotics and Automation Letters, 2025, 10(1): 152-159. DOI: 10.1109/LRA.2024.3498779.",10.1109/lra.2024.3498779,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E120,"SARLIN M, JULIN A, KURKELA M, HYYPPÄ J, VAAJA M T, HYYPPÄ H. Method for estimating dimensions and visualising changes in multi-epoch point clouds[J]. *European Journal of Remote Sensing*, 2026, 59(1): 2621431. DOI: 10.1080/22797254.2026.2621431.",10.1080/22797254.2026.2621431,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E135,"LI J, LIU Z, XU X, et al. LiMo-Calib: On-site fast LiDAR-motor calibration for quadruped robot-based panoramic 3D sensing system[Preprint]. arXiv:2502.12655, 2025.",,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E136,"GAO Y, AWUAH-OFFEI K. Efficient autonomous navigation of a quadruped robot in underground mines on edge hardware[Preprint]. arXiv:2603.04470, 2026.",,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E155,S. Fontana; Daniele Cattaneo; A. Ballardini; Matteo Vaghi; D. Sorrenti. A Benchmark for Point Clouds Registration Algorithms. Robotics Auton. Syst.. 2020. https://doi.org/10.1016/j.robot.2021.103734,10.1016/j.robot.2021.103734,RETRIEVED_OPEN_PDF,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E160,Míriam Máximo; Antonio Santo; Arturo Gil; Mónica Ballesta; David Tamés Valiente. A Coarse‐to‐Fine 3D LiDAR Localization With Deep Local Features for Long‐Term Robot Navigation in Large Environments. International Journal of Intelligent Systems. 2026. https://doi.org/10.1155/int/4278222,10.1155/int/4278222,RETRIEVED_OPEN_PDF,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E217,"Tommaso Mainiero; Jad Ghantous; Nives Grasso; Vincenzo Di Pietra. Benchmarking Local Registration Algorithms on Multi Temporal and Multi Spatial Point Clouds. The international archives of the photogrammetry, remote sensing and spatial information sciences/International archives of the photogrammetry, remote sensing and spatial information sciences. 2026. https://doi.org/10.5194/isprs-archives-xlix-b2-2026-239-2026",10.5194/isprs-archives-xlix-b2-2026-239-2026,RETRIEVED_OPEN_PDF,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E23,"LAGUE D, BRODU N, LEROUX J. Accurate 3D comparison of complex topography with terrestrial laser scanner: Application to the Rangitikei canyon (N-Z)[J]. ISPRS J Photogramm Remote Sens, 2013, 82: 10-26. DOI: 10.1016/j.isprsjprs.2013.04.009.",10.1016/j.isprsjprs.2013.04.009,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E239,Bence Gálai; Balázs Nagy; Csaba Benedek. Crossmodal point cloud registration in the Hough space for mobile laser scanning data. [Venue unavailable]. 2016. https://doi.org/10.1109/icpr.2016.7900155,10.1109/icpr.2016.7900155,RETRIEVED_OPEN_PDF,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E24,"WINIWARTER L, ANDERS K, HÖFLE B. M3C2-EP: Pushing the limits of 3D topographic point cloud change detection by error propagation[J]. ISPRS J Photogramm Remote Sens, 2021, 178: 240-258. DOI: 10.1016/j.isprsjprs.2021.06.011.",10.1016/j.isprsjprs.2021.06.011,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E242,Iris de G'elis; S. Lefèvre; T. Corpetti. DC3DCD: unsupervised learning for multiclass 3D point cloud change detection. Isprs Journal of Photogrammetry and Remote Sensing. 2023. https://doi.org/10.1016/j.isprsjprs.2023.10.022,10.1016/j.isprsjprs.2023.10.022,RETRIEVED_OPEN_PDF,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E25,"ANDERS K, WINIWARTER L, LINDENBERGH R, et al. 4D objects-by-change: Spatiotemporal segmentation of geomorphic surface change from LiDAR time series[J]. ISPRS J Photogramm Remote Sens, 2020, 159: 352-363. DOI: 10.1016/j.isprsjprs.2019.11.025.",10.1016/j.isprsjprs.2019.11.025,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E259,Haoxuan Jiang; Peicong Qian; Yusen Xie; Xiaocong Li; Ming Liu; Jun Ma. DuLoc: Life-Long Dual-Layer Localization in Changing and Dynamic Expansive Scenarios. [Venue unavailable]. 2025. https://doi.org/10.1109/iros60139.2025.11246422,10.1109/iros60139.2025.11246422,RETRIEVED_OPEN_PDF,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E26,"JAMES M R, ROBSON S, SMITH M W. 3-D uncertainty-based topographic change detection with structure-from-motion photogrammetry: precision maps for ground control and directly georeferenced surveys[J]. Earth Surface Processes and Landforms, 2017, 42(12): 1769-1788. DOI: 10.1002/esp.4125.",10.1002/esp.4125,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E27,"WHEATON J M, BRASINGTON J, DARBY S E, et al. Accounting for uncertainty in DEMs from repeat topographic surveys: improved sediment budgets[J]. Earth Surface Processes and Landforms, 2010, 35(2): 136-156. DOI: 10.1002/esp.1886.",10.1002/esp.1886,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
